RT,ISI,Median
562,315,562
334,118,448
310,2170,402
274,401,370
395,1054,375
272,605,358
281,503,347
298,913,341
294,1518,336
311,1467,333
355,368,335
318,498,334
307,608,332
402,636,337
500,1154,348
307,1682,345
316,591,343
329,2016,342
298,2231,340
330,1811,340
309,1540,338
345,841,338
276,1270,336
318,1335,335
301,1436,334
297,1129,332
450,2402,337
301,2017,335
381,825,337
282,1079,335
308,830,334
280,649,333
273,2280,331
320,643,330
294,2379,329
341,274,330
305,867,329
348,856,330
245,1262,327
284,2148,326
272,1590,325
243,2061,323
315,797,323
318,1665,323
355,655,323
308,647,323
372,2379,324
290,1441,323
273,2128,322
337,524,323
414,232,325
351,128,325
295,2104,324
303,596,324
295,1823,324
291,2046,323
322,517,323
342,1716,323
299,2029,323
342,2356,323
354,1945,324
449,468,326
327,358,326
290,1299,325
290,2038,325
300,1516,324
413,475,326
332,2292,326
250,1417,325
299,450,324
280,1124,324
396,2100,325
359,1066,325
270,1400,324
352,1216,325
351,2325,325
312,1504,325
286,1912,324
96,2377,321
341,2212,322
321,1854,322
338,1533,322
345,1261,322
353,2306,323
349,1480,323
342,1666,323
303,1771,323
299,2219,323
310,2147,322
311,1375,322
397,233,323
402,357,324
307,2470,324
340,619,324
441,340,325
323,2336,325
322,1455,325
356,238,325
325,1013,325
307,2371,325
287,1529,325
311,1637,325
381,391,325
299,1422,325
282,1409,325
320,1274,325
413,1535,325
285,2491,325
367,1031,325
339,1022,326
307,1563,325
335,2452,325
288,2130,325
322,1504,325
351,1901,325
403,627,326
282,2182,326
284,2245,325
365,1221,326
394,545,326
327,525,326
334,1571,326
258,1623,326
272,890,325
336,725,325
282,1036,325
323,2148,325
327,2090,325
378,518,325
340,807,326
320,1749,325
413,582,326
430,135,327
288,2398,327
305,1722,326
388,644,327
353,1234,327
301,1789,327
324,1516,327
358,160,327
314,816,327
291,978,327
313,888,327
290,1385,326
304,2410,326
334,1840,326
338,631,326
358,1136,327
365,1915,327
286,1503,327
332,1102,327
329,971,327
216,2386,326
363,1080,326
313,1788,326
308,1188,326
315,909,326
410,2029,326
347,1464,327
295,1496,326
270,2226,326
451,264,327
315,2394,327
322,1068,327
305,1394,327
284,1686,326
246,1165,326
468,599,327
285,1301,326
328,2251,326
455,344,327
350,1714,327
318,984,327
348,1489,327
360,679,328
406,416,328
386,212,328
284,1759,328
384,240,328
309,913,328
324,2189,328
300,2085,328
654,579,330
385,399,330
405,737,331
291,2180,330
355,2256,331
470,432,331
349,714,331
248,2147,331
320,840,331
161,1190,330
306,1830,330
330,514,330
285,1418,330
283,2229,329
341,1780,329
257,1821,329
276,2052,329
313,2097,329
