RT,ISI,Median
466,461,466
293,912,379
231,1532,330
259,1698,312
256,1365,301
345,447,308
274,124,303
268,297,299
229,1588,291
110,1898,273
351,851,280
252,2452,278
313,2498,281
319,1865,283
302,2350,284
473,641,296
315,299,297
265,1838,296
372,1188,300
268,2141,298
284,1245,297
453,579,304
306,1504,304
271,1014,303
304,1198,303
412,810,307
361,368,309
396,411,312
319,1371,313
270,2434,311
318,2009,311
297,2404,311
422,417,314
265,723,313
453,118,317
315,632,317
268,2290,315
1989,610,360
424,1259,361
358,264,361
266,2108,359
281,750,357
259,2321,355
262,974,353
281,633,351
228,2496,348
333,540,348
256,2422,346
346,629,346
302,209,345
253,756,343
258,1908,342
254,639,340
270,892,339
208,1978,336
291,732,336
383,382,336
180,2420,334
270,2430,333
333,397,333
313,994,332
330,958,332
397,202,333
294,548,333
280,2413,332
335,1353,332
330,1424,332
312,1748,332
304,1947,331
429,1233,333
547,1983,336
281,1171,335
251,1617,334
270,1463,333
267,2002,332
380,452,333
260,758,332
246,537,331
229,2108,329
275,2492,329
463,1005,330
378,407,331
304,2111,331
264,2200,330
239,1587,329
307,460,328
214,1780,327
268,1346,326
378,263,327
250,641,326
328,466,326
268,1753,326
319,230,325
306,2391,325
276,920,325
286,459,324
265,2223,324
277,1103,323
470,555,325
409,385,326
324,629,326
286,395,325
276,232,325
259,2306,324
336,160,324
267,2150,324
335,641,324
335,487,324
291,1276,324
250,1630,323
245,2365,322
260,1436,322
238,2057,321
310,1089,321
254,710,320
248,988,320
246,786,319
308,713,319
310,398,319
228,1886,318
309,650,318
247,2281,317
333,568,318
245,2468,317
243,2030,316
303,1059,316
299,1040,316
359,170,316
247,1927,316
336,1244,316
249,1914,316
262,657,315
310,266,315
277,909,315
253,1219,314
314,219,314
269,541,314
236,792,313
232,950,313
263,272,312
246,873,312
273,385,312
240,1770,311
275,418,311
234,806,310
235,2131,310
250,1626,310
248,1749,309
268,2256,309
292,682,309
