RT,ISI,Median
726,107,726
330,1961,528
311,425,456
259,2188,406
275,1990,380
298,584,366
311,1157,359
282,1965,349
332,1701,347
271,1654,339
250,2368,331
457,734,342
261,2409,336
407,969,341
300,1589,338
446,579,345
270,2247,340
268,1070,336
297,2023,334
284,1902,332
309,2209,331
276,1841,328
333,1150,328
301,2239,327
334,804,327
250,1831,324
326,280,325
435,505,328
313,773,328
264,1950,326
269,2189,324
382,398,326
270,2379,324
273,506,323
321,1705,323
314,2315,322
286,1368,321
252,2177,320
258,1615,318
290,1001,317
444,2137,320
377,664,322
264,1786,320
269,1868,319
283,2229,318
271,983,317
302,991,317
278,1693,316
448,244,319
269,1706,318
353,148,319
304,1244,318
281,115,318
298,464,317
305,973,317
342,453,317
324,2468,318
315,990,318
303,2316,317
308,2415,317
552,409,321
356,354,322
244,2200,320
301,1768,320
288,663,320
226,2448,318
423,176,320
634,277,324
413,443,326
242,2229,324
270,2338,324
255,1584,323
234,2223,321
240,2049,320
300,1642,320
316,1621,320
258,2027,319
238,2273,318
299,1861,318
313,994,318
244,1289,317
291,902,317
339,508,317
284,1840,317
259,1024,316
273,2278,315
258,1742,315
307,1155,315
245,1403,314
251,2333,313
328,1859,313
270,2083,313
465,123,314
330,1418,315
317,1454,315
270,2167,314
344,1376,314
378,243,315
373,482,316
322,630,316
317,574,316
269,1861,315
282,2209,315
413,737,316
364,416,316
222,135,316
230,1321,315
279,713,314
261,812,314
293,171,314
277,1997,313
268,1584,313
257,1986,312
241,813,312
241,395,311
306,2149,311
250,192,311
254,1457,310
273,1570,310
294,850,310
274,2497,309
275,2228,309
315,1044,309
303,1223,309
275,1340,309
237,1132,308
316,381,308
306,732,308
256,1388,308
258,1079,308
252,1738,307
273,2110,307
270,2146,307
323,1650,307
306,320,307
280,1840,307
306,456,307
237,2359,306
269,1382,306
260,584,305
259,971,305
249,1809,305
269,837,304
254,1567,304
257,1657,304
232,2205,303
262,1791,303
265,888,303
248,1007,302
269,533,302
