"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.283,608,96,"S002","S1",316,316,"Positive",95,0
0.267,601,97,"S002","S1",316,316,"Positive",96,0
0.267,1127,98,"S002","S1",315,315,"Positive",97,0
0.333,2807,99,"S002","S1",315,315,"Positive",98,0
0.283,1434,100,"S002","S1",315,315,"Positive",99,0
0.283,3014,101,"S002","S1",315,315,"Positive",100,0
0.283,2107,102,"S002","S1",315,315,"Positive",101,0
0.317,3226,103,"S002","S1",315,315,"Positive",102,0
0.267,2715,104,"S002","S1",314,314,"Positive",103,0
0.283,1888,105,"S002","S1",314,314,"Positive",104,0
0.267,3372,106,"S002","S1",313,313,"Positive",105,0
0.283,2735,107,"S002","S1",313,313,"Positive",106,0
0.367,1249,108,"S002","S1",314,314,"Positive",107,0
0.333,3327,109,"S002","S1",314,314,"Positive",108,0
0.333,347,110,"S002","S1",314,314,"Positive",109,0
0.283,3156,111,"S002","S1",314,314,"Positive",110,0
0.3,1280,112,"S002","S1",314,314,"Positive",111,0
0.25,2496,113,"S002","S1",313,313,"Positive",112,0
0.283,653,114,"S002","S1",313,313,"Positive",113,0
0.267,902,115,"S002","S1",312,312,"Positive",114,0
0.25,835,116,"S002","S1",312,312,"Positive",115,0
0.267,1696,117,"S002","S1",311,311,"Positive",116,0
0.283,521,118,"S002","S1",311,311,"Positive",117,0
0.283,1170,119,"S002","S1",311,311,"Positive",118,0
0.283,987,120,"S002","S1",311,311,"Positive",119,0
0.35,881,1,"S002","S2",NA,350,"Positive",0,0
0.25,1483,2,"S002","S2",300,300,"Positive",1,0
0.333,639,3,"S002","S2",311,311,"Positive",2,0
0.283,1325,4,"S002","S2",304,304,"Positive",3,0
0.267,3397,5,"S002","S2",297,297,"Positive",4,0
0.333,2845,6,"S002","S2",303,303,"Positive",5,0
0.267,2184,7,"S002","S2",298,298,"Positive",6,0
0.283,1241,8,"S002","S2",296,296,"Positive",7,0
0.25,3114,9,"S002","S2",291,291,"Positive",8,0
0.4,122,10,"S002","S2",302,302,"Positive",9,0
0.35,173,11,"S002","S2",306,306,"Positive",10,0
0.267,2079,12,"S002","S2",303,303,"Positive",11,0
0.3,309,13,"S002","S2",303,303,"Positive",12,0
0.283,3201,14,"S002","S2",301,301,"Positive",13,0
0.25,1959,15,"S002","S2",298,298,"Positive",14,0
0.267,1088,16,"S002","S2",296,296,"Positive",15,0
0.25,1935,17,"S002","S2",293,293,"Positive",16,0
0.267,1274,18,"S002","S2",292,292,"Positive",17,0
0.3,166,19,"S002","S2",292,292,"Positive",18,0
0.267,866,20,"S002","S2",291,291,"Positive",19,0
0.283,184,21,"S002","S2",291,291,"Positive",20,0
0.317,732,22,"S002","S2",292,292,"Positive",21,0
0.266,554,23,"S002","S2",291,291,"Positive",22,0
0.267,266,24,"S002","S2",290,290,"Positive",23,0
0.283,1810,25,"S002","S2",289,289,"Positive",24,0
0.283,1065,26,"S002","S2",289,289,"Positive",25,0
0.267,2992,27,"S002","S2",288,288,"Positive",26,0
0.283,795,28,"S002","S2",288,288,"Positive",27,0
0.317,281,29,"S002","S2",289,289,"Positive",28,0
0.25,2103,30,"S002","S2",288,288,"Positive",29,0
0.283,1428,31,"S002","S2",288,288,"Positive",30,0
0.267,2362,32,"S002","S2",287,287,"Positive",31,0
0.25,1648,33,"S002","S2",286,286,"Positive",32,0
0.267,1575,34,"S002","S2",285,285,"Positive",33,0
0.267,3233,35,"S002","S2",285,285,"Positive",34,0
0.267,2079,36,"S002","S2",284,284,"Positive",35,0
0.25,3127,37,"S002","S2",283,283,"Positive",36,0
0.317,2466,38,"S002","S2",284,284,"Positive",37,0
0.35,305,39,"S002","S2",286,286,"Positive",38,0
0.25,697,40,"S002","S2",285,285,"Positive",39,0
0.267,635,41,"S002","S2",285,285,"Positive",40,0
0.267,3115,42,"S002","S2",284,284,"Positive",41,0
0.267,628,43,"S002","S2",284,284,"Positive",42,0
0.283,2763,44,"S002","S2",284,284,"Positive",43,0
0.317,825,45,"S002","S2",284,284,"Positive",44,0
0.283,1150,46,"S002","S2",284,284,"Positive",45,0
0.283,684,47,"S002","S2",284,284,"Positive",46,0
0.267,1219,48,"S002","S2",284,284,"Positive",47,0
0.283,225,49,"S002","S2",284,284,"Positive",48,0
0.25,2058,50,"S002","S2",283,283,"Positive",49,0
0.266,831,51,"S002","S2",283,283,"Positive",50,0
0.25,2418,52,"S002","S2",282,282,"Positive",51,0
0.333,266,53,"S002","S2",283,283,"Positive",52,0
0.3,501,54,"S002","S2",284,284,"Positive",53,0
0.266,1843,55,"S002","S2",283,283,"Positive",54,0
0.267,2336,56,"S002","S2",283,283,"Positive",55,0
0.3,1956,57,"S002","S2",283,283,"Positive",56,0
0.317,120,58,"S002","S2",284,284,"Positive",57,0
0.25,2251,59,"S002","S2",283,283,"Positive",58,0
0.267,1888,60,"S002","S2",283,283,"Positive",59,0
0.266,1029,61,"S002","S2",283,283,"Positive",60,0
0.283,2568,62,"S002","S2",283,283,"Positive",61,0
0.283,955,63,"S002","S2",283,283,"Positive",62,0
0.267,1711,64,"S002","S2",283,283,"Positive",63,0
0.266,1677,65,"S002","S2",282,282,"Positive",64,0
0.283,1993,66,"S002","S2",282,282,"Positive",65,0
0.317,105,67,"S002","S2",283,283,"Positive",66,0
0.267,1570,68,"S002","S2",283,283,"Positive",67,0
0.267,1659,69,"S002","S2",282,282,"Positive",68,0
0.283,847,70,"S002","S2",282,282,"Positive",69,0
0.284,2251,71,"S002","S2",282,282,"Positive",70,0
0.267,3412,72,"S002","S2",282,282,"Positive",71,0
0.267,3153,73,"S002","S2",282,282,"Positive",72,0
0.367,479,74,"S002","S2",283,283,"Positive",73,0
0.267,1261,75,"S002","S2",283,283,"Positive",74,0
