"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.25,1.865,81,"S002","S1",0.322,0.322,"Positive",0,2
0.267,1.012,82,"S002","S1",0.322,0.322,"Positive",1,0
0.317,0.525,83,"S002","S1",0.321,0.321,"Positive",2,0
0.283,0.262,84,"S002","S1",0.321,0.321,"Positive",3,0
0.267,2.37,85,"S002","S1",0.32,0.32,"Positive",4,0
0.35,0.148,86,"S002","S1",0.321,0.321,"Negative",5,0
0.3,0.66,87,"S002","S1",0.32,0.32,"Positive",0,1
0.267,2.565,88,"S002","S1",0.32,0.32,"Positive",1,0
0.25,1.355,89,"S002","S1",0.319,0.319,"Positive",2,0
0.267,2.785,90,"S002","S1",0.319,0.319,"Positive",3,0
0.317,1.327,91,"S002","S1",0.318,0.318,"Positive",4,0
0.3,3.224,92,"S002","S1",0.318,0.318,"Positive",5,0
0.3,1.656,93,"S002","S1",0.318,0.318,"Positive",6,0
0.25,1.35,94,"S002","S1",0.317,0.317,"Positive",7,0
0.25,1.953,95,"S002","S1",0.317,0.317,"Positive",8,0
0.283,0.608,96,"S002","S1",0.316,0.316,"Positive",9,0
0.267,0.601,97,"S002","S1",0.316,0.316,"Positive",10,0
0.267,1.127,98,"S002","S1",0.315,0.315,"Positive",11,0
0.333,2.807,99,"S002","S1",0.315,0.315,"Negative",12,0
0.283,1.434,100,"S002","S1",0.315,0.315,"Positive",0,1
0.283,3.014,101,"S002","S1",0.315,0.315,"Positive",1,0
0.283,2.107,102,"S002","S1",0.315,0.315,"Positive",2,0
0.317,3.226,103,"S002","S1",0.315,0.315,"Negative",3,0
0.267,2.715,104,"S002","S1",0.314,0.314,"Positive",0,1
0.283,1.888,105,"S002","S1",0.314,0.314,"Positive",1,0
0.267,3.372,106,"S002","S1",0.313,0.313,"Positive",2,0
0.283,2.735,107,"S002","S1",0.313,0.313,"Positive",3,0
0.367,1.249,108,"S002","S1",0.314,0.314,"Negative",4,0
0.333,3.327,109,"S002","S1",0.314,0.314,"Negative",0,1
0.333,0.347,110,"S002","S1",0.314,0.314,"Negative",0,2
0.283,3.156,111,"S002","S1",0.314,0.314,"Positive",0,3
0.3,1.28,112,"S002","S1",0.314,0.314,"Positive",1,0
0.25,2.496,113,"S002","S1",0.313,0.313,"Positive",2,0
0.283,0.653,114,"S002","S1",0.313,0.313,"Positive",3,0
0.267,0.902,115,"S002","S1",0.312,0.312,"Positive",4,0
0.25,0.835,116,"S002","S1",0.312,0.312,"Positive",5,0
0.267,1.696,117,"S002","S1",0.311,0.311,"Positive",6,0
0.283,0.521,118,"S002","S1",0.311,0.311,"Positive",7,0
0.283,1.17,119,"S002","S1",0.311,0.311,"Positive",8,0
0.283,0.987,120,"S002","S1",0.311,0.311,"Positive",9,0
0.35,0.881,1,"S002","S2",NA,0.35,"Positive",0,0
0.25,1.483,2,"S002","S2",0.3,0.3,"Positive",1,0
0.333,0.639,3,"S002","S2",0.311,0.311,"Negative",2,0
0.283,1.325,4,"S002","S2",0.304,0.304,"Positive",0,1
0.267,3.397,5,"S002","S2",0.297,0.297,"Positive",1,0
0.333,2.845,6,"S002","S2",0.303,0.303,"Negative",2,0
0.267,2.184,7,"S002","S2",0.298,0.298,"Positive",0,1
0.283,1.241,8,"S002","S2",0.296,0.296,"Positive",1,0
0.25,3.114,9,"S002","S2",0.291,0.291,"Positive",2,0
0.4,0.122,10,"S002","S2",0.302,0.302,"Negative",3,0
0.35,0.173,11,"S002","S2",0.306,0.306,"Negative",0,1
0.267,2.079,12,"S002","S2",0.303,0.303,"Positive",0,2
0.3,0.309,13,"S002","S2",0.303,0.303,"Positive",1,0
0.283,3.201,14,"S002","S2",0.301,0.301,"Positive",2,0
0.25,1.959,15,"S002","S2",0.298,0.298,"Positive",3,0
0.267,1.088,16,"S002","S2",0.296,0.296,"Positive",4,0
0.25,1.935,17,"S002","S2",0.293,0.293,"Positive",5,0
0.267,1.274,18,"S002","S2",0.292,0.292,"Positive",6,0
0.3,0.166,19,"S002","S2",0.292,0.292,"Negative",7,0
0.267,0.866,20,"S002","S2",0.291,0.291,"Positive",0,1
0.283,0.184,21,"S002","S2",0.291,0.291,"Positive",1,0
0.317,0.732,22,"S002","S2",0.292,0.292,"Negative",2,0
0.266,0.554,23,"S002","S2",0.291,0.291,"Positive",0,1
0.267,0.266,24,"S002","S2",0.29,0.29,"Positive",1,0
0.283,1.81,25,"S002","S2",0.289,0.289,"Positive",2,0
0.283,1.065,26,"S002","S2",0.289,0.289,"Positive",3,0
0.267,2.992,27,"S002","S2",0.288,0.288,"Positive",4,0
0.283,0.795,28,"S002","S2",0.288,0.288,"Positive",5,0
0.317,0.281,29,"S002","S2",0.289,0.289,"Negative",6,0
0.25,2.103,30,"S002","S2",0.288,0.288,"Positive",0,1
0.283,1.428,31,"S002","S2",0.288,0.288,"Positive",1,0
0.267,2.362,32,"S002","S2",0.287,0.287,"Positive",2,0
0.25,1.648,33,"S002","S2",0.286,0.286,"Positive",3,0
0.267,1.575,34,"S002","S2",0.285,0.285,"Positive",4,0
0.267,3.233,35,"S002","S2",0.285,0.285,"Positive",5,0
0.267,2.079,36,"S002","S2",0.284,0.284,"Positive",6,0
0.25,3.127,37,"S002","S2",0.283,0.283,"Positive",7,0
0.317,2.466,38,"S002","S2",0.284,0.284,"Negative",8,0
0.35,0.305,39,"S002","S2",0.286,0.286,"Negative",0,1
0.25,0.697,40,"S002","S2",0.285,0.285,"Positive",0,2
0.267,0.635,41,"S002","S2",0.285,0.285,"Positive",1,0
0.267,3.115,42,"S002","S2",0.284,0.284,"Positive",2,0
0.267,0.628,43,"S002","S2",0.284,0.284,"Positive",3,0
0.283,2.763,44,"S002","S2",0.284,0.284,"Positive",4,0
0.317,0.825,45,"S002","S2",0.284,0.284,"Negative",5,0
0.283,1.15,46,"S002","S2",0.284,0.284,"Positive",0,1
0.283,0.684,47,"S002","S2",0.284,0.284,"Positive",1,0
0.267,1.219,48,"S002","S2",0.284,0.284,"Positive",2,0
0.283,0.225,49,"S002","S2",0.284,0.284,"Positive",3,0
0.25,2.058,50,"S002","S2",0.283,0.283,"Positive",4,0
0.266,0.831,51,"S002","S2",0.283,0.283,"Positive",5,0
0.25,2.418,52,"S002","S2",0.282,0.282,"Positive",6,0
0.333,0.266,53,"S002","S2",0.283,0.283,"Negative",7,0
0.3,0.501,54,"S002","S2",0.284,0.284,"Negative",0,1
0.266,1.843,55,"S002","S2",0.283,0.283,"Positive",0,2
0.267,2.336,56,"S002","S2",0.283,0.283,"Positive",1,0
